caso_id,resumen,empresa,mineral,comunidades,demanda_principal,tipo_normalizado,confianza,texto_ilegible,modelo,prompt_version,hash_entrada,fuente,fecha_generacion
545,"El alcalde distrital de Carapo, Román de la Cruz Rojas, es acusado de favorecer al anexo de Porta Cruz en la distribución de obras y beneficios. Esta situación ha generado descontento entre los pobladores de otros anexos y de la capital del distrito, quienes han realizado amenazas y actos de protesta contra la autoridad.",,,Carapo; Porta Cruz,La población exige equidad en la distribución de obras y beneficios por parte del alcalde distrital.,gobierno_local,alta,0,gemini-2.5-flash,v1-2026-08-28,2ce6a7b85f415adaae762deca9ed257886b2c2dddca87669e5244c1879887593,cache,2026-08-28T04:44:04+00:00
546,"En abril de 2004, el Frente de Defensa de Cangallo cuestionó al alcalde provincial, Oscar Tineo de la Cruz, por iniciar la remodelación del palacio municipal sin autorización del Concejo Provincial ni expediente técnico. El Frente convocó a un paro provincial e intentó tomar el local municipal.",,,Cangallo,El Frente de Defensa cuestiona al alcalde por iniciar la remodelación del palacio municipal sin autorización ni expediente técnico.,gobierno_local,alta,0,gemini-2.5-flash,v1-2026-08-28,57d0eb053d01986d1e4d94c016189086c5692d4b8c3c65e391e35b3924a9d97b,cache,2026-08-28T04:44:04+00:00
1,"El alcalde distrital de Huancas, Eduardo Fausto Dilas Cerna, fue denunciado por el delito contra el derecho de sufragio por supuestamente falsificar firmas para la inscripción de su candidatura. Aunque el proceso fue archivado, se han presentado cuestionamientos a su gestión municipal a través de denuncias penales, generando tensión en el distrito.",,,Huancas,Se cuestiona la gestión municipal del alcalde Eduardo Fausto Dilas Cerna y se presentan denuncias penales en su contra.,gobierno_local,alta,0,gemini-2.5-flash,v1-2026-08-28,2df14d7530c7eb42ba30aa8a63d211ebe75351f6c1108595abda94cb8db2c6d8,cache,2026-08-28T04:44:04+00:00
2,La población de Utcubamba cuestionó al alcalde provincial Juan Novoa Flores por presuntas irregularidades en su gestión edilicia. Esto llevó a la apertura de un proceso de vacancia que fue declarado fundado por el Concejo Provincial.,,,Utcubamba,La población demandó la vacancia del alcalde provincial por presuntas irregularidades en su gestión.,gobierno_local,alta,0,gemini-2.5-flash,v1-2026-08-28,924968933d3072c6102cb33330cb39574c860469159a78ac6c1bf7c14416f2cf,cache,2026-08-28T04:44:04+00:00
3738,"En el distrito de Huallanca, se cuestiona la gestión del alcalde por presunta falta de transparencia y múltiples denuncias archivadas. El Frente de Desarrollo y Defensa del Distrito de Huallanca y Caseríos (FEDEDIHC) anunció un paro distrital por la inacción de las entidades estatales. La Defensoría del Pueblo convocó una mesa de diálogo para restablecer la paz social.",,,Huallanca,Se demanda transparencia en la gestión municipal y acción de las entidades estatales.,gobierno_local,alta,0,gemini-2.5-flash,v1-2026-08-28,e343e1aa7d40c1210dac63bc01301fcf80400c8a93e0afe99f5eca92dad1cbeb,cache,2026-08-28T04:44:04+00:00
3739,"En abril de 2004, un medio de comunicación local difundió un audio en el que el Alcalde Provincial Roberto Espejo Ramírez coaccionaba al propietario del medio y se expresaba despectivamente de la población de Caraz. La población se movilizó exigiendo la vacancia del alcalde, lo que llevó a enfrentamientos y la suspensión del alcalde. Finalmente, el JNE resolvió vacar al alcalde en octubre de 2004.",,,Caraz,La población exigía la vacancia del alcalde provincial Roberto Espejo Ramírez debido a coacción y expresiones despectivas.,gobierno_local,alta,0,gemini-2.5-flash,v1-2026-08-28,29a737e223349ed9795d83a784aff7207ba3f6a7d1a33cf581beb38913b17709,cache,2026-08-28T04:44:04+00:00
3740,"Pobladores del distrito de Quillo tomaron la municipalidad en diciembre de 2001 debido a supuestas irregularidades en el manejo presupuestario por parte del alcalde Juan Cruzado Navarro. La municipalidad permanece cerrada y vigilada por la población, y el alcalde despacha en oficinas alquiladas mientras enfrenta un proceso penal.",,,distrito de Quillo,Los pobladores demandan transparencia y denuncian supuestos malos manejos presupuestarios del alcalde.,gobierno_local,alta,0,gemini-2.5-flash,v1-2026-08-28,bf21c7e5f02435278d8088e7d9223ea0a45a2710907767c68eb680e39a789bf4,cache,2026-08-28T04:44:04+00:00
3741,"El conflicto en Samanco, provincia del Santa, se originó por supuestas irregularidades en el manejo de recursos municipales por parte del alcalde Jaime Casana Escobedo. La población mantuvo cerrado el local edil, obligando al alcalde a despachar en un local alquilado en Huambacho. El Poder Judicial varió el mandato de detención contra el alcalde por el de comparecencia, permitiéndole reingresar al Palacio Municipal.",,,Samanco; Huambacho,La población se opone a supuestas irregularidades en el manejo de recursos municipales.,gobierno_local,alta,0,gemini-2.5-flash,v1-2026-08-28,e916e4fdc454a869f241194b63f9182876c548d5d6867ab20e064f6035c802fe,cache,2026-08-28T04:44:04+00:00
3742,"La población de Yungay acusó al alcalde provincial de ser el autor intelectual del asesinato de un periodista, lo que llevó a la detención del alcalde y a la solicitud de suspensión de su cargo. Posteriormente, el Concejo Provincial declaró la vacancia del alcalde, aunque el JNE designó a un regidor como alcalde encargado y declaró nulo el acuerdo de vacancia. El conflicto se resolvió con la intervención del JNE.",,,Yungay,La población exigía la vacancia del alcalde provincial por su presunta implicación en el asesinato de un periodista.,gobierno_local,alta,0,gemini-2.5-flash,v1-2026-08-28,c645b0b285e019811713c4ad9f566a61870b39c092eb23fddde4f101f538a6d2,gemini,2026-08-28T04:44:09+00:00
309,"En abril de 2004, el alcalde distrital de Miraflores, Luis Aguirre Chávez, se reunió con comerciantes de la Feria El Altiplano. La reunión abordó problemas relacionados con la seguridad, el orden y la delimitación de áreas en la feria.",,,Comerciantes de la Feria El Altiplano,"Los comerciantes de la Feria El Altiplano buscan soluciones a problemas de seguridad, orden y delimitación de áreas.",gobierno_local,alta,0,gemini-2.5-flash,v1-2026-08-28,c087fda740c74916c2f88669429f648906a3623190f3da39cd62cbe714ce617a,gemini,2026-08-28T04:44:09+00:00
